symbol,session_date,exclusion_reason
QQQ,2022-12-01,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-02,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-05,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-06,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-12-07,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-08,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-12-09,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-12,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-13,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-14,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-15,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-16,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-19,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-20,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-21,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-22,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-12-23,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-27,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2022-12-28,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-29,EXCLUDED_DRIVE_THRESHOLD
QQQ,2022-12-30,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-03,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-04,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-05,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-01-06,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-01-09,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-10,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-11,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-12,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-01-13,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-17,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-18,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-19,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-20,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-23,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-24,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-25,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-26,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-27,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-30,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-01-31,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-01,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-02,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-03,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-02-06,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-07,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-08,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-09,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-02-10,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-13,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-14,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-15,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-16,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-17,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-21,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-22,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-23,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-24,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-27,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-02-28,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-01,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-02,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-03,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-06,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-07,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-08,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-09,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-10,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-03-13,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-14,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-03-15,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-16,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-17,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-20,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-21,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-22,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-23,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-24,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-27,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-29,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-30,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-03-31,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-04-03,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-04-04,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-04-05,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-04-06,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-04-10,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-04-11,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-04-12,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-04-13,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-04-14,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-04-17,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-04-18,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-04-19,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-04-20,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-04-21,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-04-24,EXCLUDED_MAXIMUM_PULLBACK
QQQ,2023-04-25,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-04-26,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-04-27,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-04-28,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-01,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-02,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-03,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-04,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-05,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-08,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-09,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-10,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-11,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-12,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-15,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-16,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-05-17,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-18,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-05-19,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-22,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-05-23,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-24,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-25,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-05-26,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-05-30,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-05-31,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-06-01,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-06-02,EXCLUDED_MAXIMUM_PULLBACK
QQQ,2023-06-05,EXCLUDED_MAXIMUM_PULLBACK
QQQ,2023-06-06,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-06-07,EXCLUDED_MAXIMUM_PULLBACK
QQQ,2023-06-08,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-06-09,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-06-12,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-06-13,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-06-14,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-06-15,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-06-16,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-06-20,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-06-21,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-06-22,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-06-23,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-06-26,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-06-27,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-06-28,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-06-29,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-06-30,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-03,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-05,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-07-06,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-07,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-10,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-11,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-12,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-13,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-14,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-17,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-18,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-07-19,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-20,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-07-21,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-24,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-25,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-26,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-27,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-07-28,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-07-31,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-08-01,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-08-02,EXCLUDED_POST_DRIVE_NEW_EXTREME
QQQ,2023-08-03,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-08-04,EXCLUDED_DRIVE_THRESHOLD
QQQ,2023-08-07,EXCLUDED_DRIVE_THRESHOLD
