symbol,hypothesis_id,session_date,timestamp,diagnostic,sweep_depth_ticks,scenario,equity_before_session,direction,actual_quantity
QQQ,HYP-FCR-03,2023-09-07,2023-09-07T15:25:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,901.7611008100397,,
QQQ,HYP-FCR-03,2023-09-26,2023-09-26T16:40:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.889999999998281,severe,903.3599730900412,,
QQQ,HYP-FCR-03,2023-10-18,2023-10-18T14:00:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,901.5590241500415,,
QQQ,HYP-FCR-03,2023-10-24,2023-10-24T14:20:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,904.0059281500418,,
QQQ,HYP-FCR-03,2023-10-27,2023-10-27T14:20:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,900.1602273500421,,
QQQ,HYP-FCR-03,2023-11-01,2023-11-01T14:15:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,892.4064620700425,,
QQQ,HYP-FCR-03,2023-11-06,2023-11-06T15:05:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.49999999999954525,severe,891.8626610700426,,
QQQ,HYP-FCR-03,2023-11-21,2023-11-21T17:50:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,879.1062199700434,,
QQQ,HYP-FCR-03,2023-11-24,2023-11-24T16:25:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,875.7323679700437,,
QQQ,HYP-FCR-03,2023-11-24,2023-11-24T17:55:00+00:00,no_next_minute_entry,,severe,875.7323679700437,long,2.0
QQQ,HYP-FCR-03,2023-12-13,2023-12-13T16:55:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,858.0780878500447,,
QQQ,HYP-FCR-03,2023-12-22,2023-12-22T16:35:00+00:00,low_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,855.904821790045,,
QQQ,HYP-FCR-03,2024-01-04,2024-01-04T19:50:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,843.9423067900457,,
QQQ,HYP-FCR-03,2024-02-01,2024-02-01T15:50:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.009999999997489795,severe,839.7600688000474,,
QQQ,HYP-FCR-03,2024-05-15,2024-05-15T14:15:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,823.6388683500496,,
QQQ,HYP-FCR-03,2024-05-20,2024-05-20T14:30:00+00:00,high_exact_or_subtick_touch_rejected_by_strict_sweep,0.0,severe,824.8913798500497,,
