hypothesis_id,symbol,session_date,sweep_timestamp,confirmation_timestamp,executable_timestamp,direction_orientation,swept_side,year,executable_timestamp_hour_bucket,horizon,executable_price_reference,event_return,future_close,maximum_favorable_excursion,maximum_adverse_excursion,bars_in_path,baseline_cost_return,stress_cost_return,event_return_after_baseline_cost,event_return_after_stress_cost,unconditional_return,unconditional_sample_count,incremental_return
HYP-OR-CONT-EVENT-01,QQQ,2024-10-07,2024-10-07T14:15:00+00:00,2024-10-07T14:35:00+00:00,2024-10-07T14:35:00+00:00,continuation_long,high,2024,10:00,15min,486.22,-0.0007198387561186959,485.87,0.0004113364320676993,-0.0018304471227017505,4,0.00024113364320677884,0.0004822672864135577,-0.0009609723993254746,-0.0012021060425322534,-1.645775283912026e-05,3024,-0.0007033810032795756
HYP-OR-CONT-EVENT-01,QQQ,2024-10-07,2024-10-07T14:15:00+00:00,2024-10-07T14:35:00+00:00,2024-10-07T14:35:00+00:00,continuation_long,high,2024,10:00,60min,486.22,-0.0011264448192176424,485.6723,0.0005141705400848462,-0.002570852700423676,13,0.00024113364320677884,0.0004822672864135577,-0.0013675784624244212,-0.0016087121056312,1.3990141093417914e-05,3024,-0.0011404349603110603
HYP-OR-CONT-EVENT-01,QQQ,2024-10-07,2024-10-07T14:15:00+00:00,2024-10-07T14:35:00+00:00,2024-10-07T14:35:00+00:00,continuation_long,high,2024,10:00,session_close,486.22,-0.0085557977870101,482.06,0.0005141705400848462,-0.0110032495578134,65,0.00024113364320677884,0.0004822672864135577,-0.008796931430216879,-0.009038065073423657,0.10520893768050853,3024,-0.11376473546751863
HYP-OR-CONT-EVENT-01,QQQ,2024-10-08,2024-10-08T14:00:00+00:00,2024-10-08T14:20:00+00:00,2024-10-08T14:20:00+00:00,continuation_long,high,2024,10:00,30min,486.39,0.002981146816340763,487.84,0.004646477106848401,-0.0012130183597524047,7,0.00024111926643228686,0.0004822385328645737,0.002740027549908476,0.002498908283476189,-8.784715465694218e-06,3024,0.002989931531806457
HYP-OR-CONT-EVENT-01,QQQ,2024-10-08,2024-10-08T14:00:00+00:00,2024-10-08T14:20:00+00:00,2024-10-08T14:20:00+00:00,continuation_long,high,2024,10:00,15min,486.39,0.0010896605604555631,486.92,0.0018503669894529562,-0.0012130183597524047,4,0.00024111926643228686,0.0004822385328645737,0.0008485412940232763,0.0006074220275909894,-1.645775283912026e-05,3024,0.0011061183132946835
HYP-OR-CONT-EVENT-01,QQQ,2024-10-08,2024-10-08T14:00:00+00:00,2024-10-08T14:20:00+00:00,2024-10-08T14:20:00+00:00,continuation_long,high,2024,10:00,60min,486.39,0.0020559633216143958,487.39,0.004646477106848401,-0.0012130183597524047,13,0.00024111926643228686,0.0004822385328645737,0.0018148440551821088,0.001573724788749822,1.3990141093417914e-05,3024,0.002041973180520978
HYP-OR-CONT-EVENT-01,QQQ,2024-10-08,2024-10-08T14:00:00+00:00,2024-10-08T14:20:00+00:00,2024-10-08T14:20:00+00:00,continuation_long,high,2024,10:00,session_close,486.39,0.006044532165546235,489.33,0.007401467957811603,-0.0012130183597524047,68,0.00024111926643228686,0.0004822385328645737,0.005803412899113948,0.005562293632681661,0.10520893768050853,3024,-0.09916440551496229
HYP-OR-CONT-EVENT-01,QQQ,2024-10-09,2024-10-09T14:05:00+00:00,2024-10-09T14:25:00+00:00,2024-10-09T14:25:00+00:00,continuation_long,high,2024,10:00,30min,490.19,0.0014239376568268014,490.888,0.0014892184663091168,-0.0008568106244517537,7,0.0002408005059262735,0.000481601011852547,0.0011831371509005279,0.0009423366449742543,-8.784715465694218e-06,3024,0.0014327223722924956
HYP-OR-CONT-EVENT-01,QQQ,2024-10-09,2024-10-09T14:05:00+00:00,2024-10-09T14:25:00+00:00,2024-10-09T14:25:00+00:00,continuation_long,high,2024,10:00,15min,490.19,6.120075888937926e-05,490.22,0.0011016136600094928,-0.0003672045533364976,4,0.0002408005059262735,0.000481601011852547,-0.00017959974703689424,-0.00042040025296316775,-1.645775283912026e-05,3024,7.765851172849952e-05
HYP-OR-CONT-EVENT-01,QQQ,2024-10-09,2024-10-09T14:05:00+00:00,2024-10-09T14:25:00+00:00,2024-10-09T14:25:00+00:00,continuation_long,high,2024,10:00,60min,490.19,0.002610008364103633,491.4694,0.00328444072706513,-0.0008568106244517537,13,0.0002408005059262735,0.000481601011852547,0.00236920785817736,0.002128407352251086,1.3990141093417914e-05,3024,0.002596018223010215
HYP-OR-CONT-EVENT-01,QQQ,2024-10-09,2024-10-09T14:05:00+00:00,2024-10-09T14:25:00+00:00,2024-10-09T14:25:00+00:00,continuation_long,high,2024,10:00,session_close,490.19,0.006079275383014782,493.17,0.007221689548950527,-0.0008568106244517537,67,0.0002408005059262735,0.000481601011852547,0.005838474877088508,0.005597674371162235,0.10520893768050853,3024,-0.09912966229749375
HYP-OR-CONT-EVENT-01,QQQ,2024-10-10,2024-10-10T14:00:00+00:00,2024-10-10T14:20:00+00:00,2024-10-10T14:20:00+00:00,continuation_long,high,2024,10:00,30min,491.87,-0.0009148758818386948,491.42,0.0010368593327505504,-0.0017890906133734008,7,0.00024066115030394212,0.00048132230060788424,-0.001155537032142637,-0.001396198182446579,-8.784715465694218e-06,3024,-0.0009060911663730006
