event_type,horizon,symbol,orientation,year,mean_reversal_return,economic_threshold_applicable,economic_threshold_passed,reason
EVENT-06,5min,SPY,short_reversal,2022,0.000283741405916819,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,5min,SPY,short_reversal,2023,0.00014092735100857542,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,5min,SPY,short_reversal,2024,-2.2982071429526493e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,60min,QQQ,short_reversal,2022,-0.00011083620454864703,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,60min,QQQ,short_reversal,2023,-0.0004133842884608817,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,60min,QQQ,short_reversal,2024,-0.00036201072018352334,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,60min,SPY,short_reversal,2022,-0.00020470651754004972,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,60min,SPY,short_reversal,2023,0.00023295385130447924,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,60min,SPY,short_reversal,2024,6.695134984067217e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,session_close,QQQ,short_reversal,2022,0.0005184902785383396,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,session_close,QQQ,short_reversal,2023,-0.0013773602324821182,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,session_close,QQQ,short_reversal,2024,-0.0005383230839509952,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,session_close,SPY,short_reversal,2022,-0.0004939825625037996,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,session_close,SPY,short_reversal,2023,-0.0005973116311694704,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-06,session_close,SPY,short_reversal,2024,-0.0005440540114284218,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,15min,QQQ,long_reversal,2022,-0.00031695694122932584,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,15min,QQQ,long_reversal,2023,-0.0003743218477991198,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,15min,QQQ,long_reversal,2024,-0.0003903922422225705,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,15min,SPY,long_reversal,2022,-0.0004952249289017599,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,15min,SPY,long_reversal,2023,-0.0001445221420013169,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,15min,SPY,long_reversal,2024,-0.00027241598179370956,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,30min,QQQ,long_reversal,2022,-0.0005238899072918231,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,30min,QQQ,long_reversal,2023,-0.000411896780478571,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,30min,QQQ,long_reversal,2024,-0.0004152023056034781,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,30min,SPY,long_reversal,2022,-0.0006147019663022865,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,30min,SPY,long_reversal,2023,-0.0002548880275964465,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,30min,SPY,long_reversal,2024,-0.0004131283068043295,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,5min,QQQ,long_reversal,2022,-0.0002908541657761164,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,5min,QQQ,long_reversal,2023,-0.00023640487400679726,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,5min,QQQ,long_reversal,2024,-0.00023123925269333303,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,5min,SPY,long_reversal,2022,-0.000201005509486397,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,5min,SPY,long_reversal,2023,-0.0001260507426780267,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,5min,SPY,long_reversal,2024,-0.00011133090061150384,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,60min,QQQ,long_reversal,2022,-0.00024209567634620547,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,60min,QQQ,long_reversal,2023,-0.0004965170973927667,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,60min,QQQ,long_reversal,2024,-0.0004967427184274089,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,60min,SPY,long_reversal,2022,-0.0006947156528748727,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,60min,SPY,long_reversal,2023,-0.00043443897216882894,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,60min,SPY,long_reversal,2024,-0.00047670884732184296,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,session_close,QQQ,long_reversal,2022,-0.0012655713973169387,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,session_close,QQQ,long_reversal,2023,6.472861437643e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,session_close,QQQ,long_reversal,2024,-0.0006749555345340929,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,session_close,SPY,long_reversal,2022,-0.0013462685602035568,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,session_close,SPY,long_reversal,2023,-7.864001212612911e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-07,session_close,SPY,long_reversal,2024,-0.0003100795599202984,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,15min,QQQ,short_reversal,2022,-0.0006405877163035004,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,15min,QQQ,short_reversal,2023,-0.000356350229910053,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,15min,QQQ,short_reversal,2024,-0.00038173556692207186,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,15min,SPY,short_reversal,2022,-0.00031603981230982195,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,15min,SPY,short_reversal,2023,-0.00013560014384370042,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,15min,SPY,short_reversal,2024,-0.00015366747474135684,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,30min,QQQ,short_reversal,2022,-0.00045625440042180364,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,30min,QQQ,short_reversal,2023,-0.00023184472684223818,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,30min,QQQ,short_reversal,2024,-0.0005024372178577195,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,30min,SPY,short_reversal,2022,-0.0005899960505109039,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,30min,SPY,short_reversal,2023,-6.291752607231156e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,30min,SPY,short_reversal,2024,-0.0002920114416834708,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-08,5min,QQQ,short_reversal,2022,-0.0003066585622698327,False,False,non_strategy_event_study_no_pnl_no_cost_model
