event_type,horizon,symbol,orientation,year,count,event_count,available_count,session_count,mean_reversal_return,median_reversal_return,std_reversal_return,favorable_percentage,mean_continuation_return,median_continuation_return,mean_mfe,median_mfe,mean_mae,median_mae,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
EVENT-03,15min,QQQ,short_reversal,2022,173,173,172,173,-7.638124146926681e-05,1.6956620101982178e-05,0.0036260454709918415,0.5,7.638124146926681e-05,-1.6956620101982178e-05,0.0024767206882436855,0.00184224106968575,0.0026367372465315093,0.0019904203327872497,-0.0005610325559677612,0.00044975006535592256,session_date,17
EVENT-03,15min,QQQ,short_reversal,2023,176,176,173,176,1.866214693236882e-05,-0.0001582388927194,0.0021010893838959038,0.4508670520231214,-1.866214693236882e-05,0.0001582388927194,0.0017410169464956732,0.0013039544414286,0.0016332643765219431,0.0012498733236494,-0.00029491548367893027,0.00031421608056739285,session_date,17
EVENT-03,15min,QQQ,short_reversal,2024,182,182,177,182,-6.605514273259482e-05,-2.073097414845293e-05,0.0016974436193569128,0.4858757062146893,6.605514273259482e-05,2.073097414845293e-05,0.0014104941361289564,0.0009604572713644,0.0012685034738457394,0.000948174186536,-0.0003308754057096078,0.0001772146983978024,session_date,17
EVENT-03,15min,SPY,short_reversal,2022,180,180,179,180,0.00010394353123746357,-7.933138170690412e-05,0.0025646975062703554,0.4860335195530726,-0.00010394353123746357,7.933138170690412e-05,0.0019851574584335073,0.0014790635997348,0.00174276413186679,0.0012357827768497,-0.000275414266054939,0.0004969884257700532,session_date,17
EVENT-03,15min,SPY,short_reversal,2023,197,197,194,197,4.0122104150576394e-05,-6.656600570942306e-05,0.0015039940449300588,0.4896907216494845,-4.0122104150576394e-05,6.656600570942306e-05,0.001159430216872537,0.00081347513272075,0.0010554407443095317,0.0007985045525607,-0.00016297342120954084,0.00024334694718687212,session_date,17
EVENT-03,15min,SPY,short_reversal,2024,199,199,193,199,-2.8903101347672026e-05,-5.7317695610459296e-05,0.0010907016034315952,0.47150259067357514,2.8903101347672026e-05,5.7317695610459296e-05,0.0009224787197031282,0.0006313023597057,0.0008033416798196609,0.0006422396047756,-0.00017993287728236605,0.00011167654211314152,session_date,17
EVENT-03,30min,QQQ,short_reversal,2022,173,173,171,173,9.85422093758048e-05,-0.0001564210855624,0.005086904759111518,0.49122807017543857,-9.85422093758048e-05,0.0001564210855624,0.00368648488786056,0.0027762730227518,0.0035663605488001245,0.0028500306648869,-0.0006136208490131807,0.0008243743217227494,session_date,17
EVENT-03,30min,QQQ,short_reversal,2023,176,176,173,176,0.0002030454380927224,-0.0002581444576386,0.0030950075383648435,0.4508670520231214,-0.0002030454380927224,0.0002581444576386,0.00254651003793024,0.0018968740177887,0.0021797006479024068,0.0018453279651066,-0.0002925625885759556,0.0006486523182200092,session_date,17
EVENT-03,30min,QQQ,short_reversal,2024,182,182,176,182,-0.0002103126905198437,-0.0002676946485734,0.002456052132818046,0.45454545454545453,0.0002103126905198437,0.0002676946485734,0.0019232827052051407,0.00131339902722965,0.0018099588835348323,0.0012944946659106,-0.0005884207975101722,0.00010066172699909355,session_date,17
EVENT-03,30min,SPY,short_reversal,2022,180,180,176,180,-1.53433739333765e-05,-7.177942062763787e-05,0.0036928855800617546,0.48863636363636365,1.53433739333765e-05,7.177942062763787e-05,0.002698333569267858,0.0019477234530218999,0.0025370412573218547,0.0020123258053824002,-0.0005177619624526339,0.0005218048875976049,session_date,17
EVENT-03,30min,SPY,short_reversal,2023,197,197,193,197,9.562900500636453e-05,3.744710596276235e-05,0.002274561750519746,0.5025906735751295,-9.562900500636453e-05,-3.744710596276235e-05,0.0016702453267523124,0.001232332377647,0.0014750823004357776,0.0010406979318896,-0.0002129289252336451,0.0004033403597155595,session_date,17
