event_type,horizon,symbol,orientation,year,count,event_count,available_count,session_count,mean_reversal_return,median_reversal_return,std_reversal_return,favorable_percentage,mean_continuation_return,median_continuation_return,mean_mfe,median_mfe,mean_mae,median_mae,bootstrap_reversal_mean_ci_low,bootstrap_reversal_mean_ci_high,bootstrap_grouped_by,bootstrap_seed
EVENT-03,15min,QQQ,short_reversal,2024,182,182,177,182,-6.605514273259776e-05,-2.073097414845293e-05,0.001697443619356955,0.4858757062146893,6.605514273259776e-05,2.073097414845293e-05,0.0014104941361290017,0.0009604572713644011,0.001268503473845788,0.0009481741865360327,-0.00033087540570962085,0.00017721469839780552,session_date,17
EVENT-03,15min,SPY,short_reversal,2022,180,180,179,180,0.00010394353123746049,-7.933138170690412e-05,0.0025646975062703936,0.4860335195530726,-0.00010394353123746049,7.933138170690412e-05,0.001985157458433556,0.00147906359973482,0.0017427641318668327,0.0012357827768497698,-0.0002754142660549501,0.000496988425770056,session_date,17
EVENT-03,15min,SPY,short_reversal,2023,197,197,194,197,4.012210415057287e-05,-6.656600570942306e-05,0.0015039940449300955,0.4896907216494845,-4.012210415057287e-05,6.656600570942306e-05,0.0011594302168725843,0.0008134751327207868,0.001055440744309578,0.0007985045525607526,-0.00016297342120954802,0.00024334694718687215,session_date,17
EVENT-03,15min,SPY,short_reversal,2024,199,199,193,199,-2.8903101347678477e-05,-5.7317695610459296e-05,0.0010907016034316294,0.47150259067357514,2.8903101347678477e-05,5.7317695610459296e-05,0.0009224787197031736,0.0006313023597057654,0.0008033416798197063,0.0006422396047756074,-0.0001799328772823727,0.0001116765421131417,session_date,17
EVENT-03,30min,QQQ,short_reversal,2022,173,173,171,173,9.854220937580554e-05,-0.0001564210855624637,0.005086904759111552,0.49122807017543857,-9.854220937580554e-05,0.0001564210855624637,0.00368648488786061,0.0027762730227518517,0.0035663605488001748,0.002850030664886982,-0.0006136208490131863,0.0008243743217227573,session_date,17
EVENT-03,30min,QQQ,short_reversal,2023,176,176,173,176,0.0002030454380927175,-0.0002581444576386094,0.00309500753836488,0.4508670520231214,-0.0002030454380927175,0.0002581444576386094,0.0025465100379302896,0.0018968740177887078,0.0021797006479024536,0.0018453279651066135,-0.00029256258857596407,0.000648652318220008,session_date,17
EVENT-03,30min,QQQ,short_reversal,2024,182,182,176,182,-0.00021031269051984244,-0.0002676946485734577,0.0024560521328180814,0.45454545454545453,0.00021031269051984244,0.0002676946485734577,0.00192328270520519,0.0013133990272297114,0.0018099588835348802,0.0012944946659106393,-0.0005884207975101749,0.00010066172699910008,session_date,17
EVENT-03,30min,SPY,short_reversal,2022,180,180,176,180,-1.5343373933379573e-05,-7.177942062763787e-05,0.003692885580061795,0.48863636363636365,1.5343373933379573e-05,7.177942062763787e-05,0.0026983335692679065,0.0019477234530219656,0.002537041257321902,0.0020123258053824644,-0.0005177619624526412,0.0005218048875976055,session_date,17
EVENT-03,30min,SPY,short_reversal,2023,197,197,193,197,9.562900500636327e-05,3.744710596276235e-05,0.0022745617505197818,0.5025906735751295,-9.562900500636327e-05,-3.744710596276235e-05,0.0016702453267523583,0.001232332377647083,0.0014750823004358274,0.0010406979318896559,-0.00021292892523365207,0.00040334035971556216,session_date,17
EVENT-03,30min,SPY,short_reversal,2024,199,199,191,199,-0.00016971400847109495,-0.00018255188316684823,0.0015798716975369926,0.4031413612565445,0.00016971400847109495,0.00018255188316684823,0.0012418699011134638,0.0008655263428511972,0.0012780993589862888,0.0009746942968332784,-0.00039197624233957526,4.0804826930462586e-05,session_date,17
EVENT-03,5min,QQQ,short_reversal,2022,173,173,173,173,-0.00013826140332114028,-0.00012643461900263553,0.0020368705195626877,0.48554913294797686,0.00013826140332114028,0.00012643461900263553,0.0014576623820324007,0.0011042751222589686,0.0016008560415751564,0.0012574549112595035,-0.0004529060120917609,0.0001789297060248225,session_date,17
EVENT-03,5min,QQQ,short_reversal,2023,176,176,176,176,7.873795795251762e-05,1.3488723427212967e-05,0.0012699290073512305,0.5,-7.873795795251762e-05,-1.3488723427212967e-05,0.0009947887193226244,0.0007341573819508174,0.0009429181590646191,0.0008068994572955623,-0.00010935353408098741,0.00028096625183045125,session_date,17
EVENT-03,5min,QQQ,short_reversal,2024,182,182,180,182,2.9849549015180543e-07,9.70459221300013e-06,0.0011234663094212883,0.5,-2.9849549015180543e-07,-9.70459221300013e-06,0.0008184486483605462,0.0006140479353712314,0.0008183888692358938,0.0006250805596603182,-0.00014937265681209318,0.00017368623721689515,session_date,17
EVENT-03,5min,SPY,short_reversal,2022,180,180,180,180,1.795285811777816e-05,6.133703064198359e-05,0.001564757141503673,0.5111111111111111,-1.795285811777816e-05,-6.133703064198359e-05,0.0011052108930664976,0.0008674526964094209,0.0010816910801516471,0.0008162928350504139,-0.00022484386649765964,0.0002506177084462833,session_date,17
EVENT-03,5min,SPY,short_reversal,2023,197,197,196,197,4.522754450168156e-05,-1.1627753214393799e-05,0.0008728632433133384,0.47959183673469385,-4.522754450168156e-05,1.1627753214393799e-05,0.0006703078085715859,0.00042875033817046937,0.0006541903196540975,0.0004921554481715495,-5.9173883349715685e-05,0.0001742043002597725,session_date,17
EVENT-03,5min,SPY,short_reversal,2024,199,199,197,199,2.5954496564810198e-05,9.358564021955118e-06,0.0007592086336809867,0.5126903553299492,-2.5954496564810198e-05,-9.358564021955118e-06,0.0005649563330260241,0.0003958922178255442,0.0005013957842188837,0.00037916828923367785,-7.433329542924453e-05,0.00013271984941492382,session_date,17
EVENT-03,60min,QQQ,short_reversal,2022,173,173,167,173,7.334097807209596e-05,-0.00027671873078327636,0.0067297260595807415,0.46706586826347307,-7.334097807209596e-05,0.00027671873078327636,0.00494962168177505,0.0033234316637746897,0.0045372648774038545,0.003688776555775597,-0.0009633799605200697,0.0009723749403170512,session_date,17
EVENT-03,60min,QQQ,short_reversal,2023,176,176,170,176,-0.00024318361422690112,-0.0005780474604590857,0.004050072089850047,0.4470588235294118,0.00024318361422690112,0.0005780474604590857,0.003311004947716741,0.0024106301484562165,0.0030109684546003857,0.0024380942365047065,-0.0009224012540075467,0.00038659107694074207,session_date,17
