event_type,horizon,symbol,orientation,year,mean_reversal_return,economic_threshold_applicable,economic_threshold_passed,reason
EVENT-05,15min,SPY,long_reversal,2024,-0.00012076337802706066,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,30min,QQQ,long_reversal,2022,0.0003096785177568651,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,30min,QQQ,long_reversal,2023,-0.00022607634702585892,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,30min,QQQ,long_reversal,2024,1.325156707634778e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,30min,SPY,long_reversal,2022,0.00037228208840722857,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,30min,SPY,long_reversal,2023,0.0001989552060577872,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,30min,SPY,long_reversal,2024,3.7437393686728055e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,5min,QQQ,long_reversal,2022,-0.00011097445613793,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,5min,QQQ,long_reversal,2023,-6.652131639267113e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,5min,QQQ,long_reversal,2024,-0.00032210499578032384,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,5min,SPY,long_reversal,2022,0.00012777318627918652,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,5min,SPY,long_reversal,2023,1.0872924195782575e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,5min,SPY,long_reversal,2024,-5.297443893861886e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,60min,QQQ,long_reversal,2022,0.00021841033658786862,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,60min,QQQ,long_reversal,2023,0.00013323112662904922,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,60min,QQQ,long_reversal,2024,-0.0001143319351462692,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,60min,SPY,long_reversal,2022,0.0006292134982437715,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,60min,SPY,long_reversal,2023,0.00037547748486527617,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,60min,SPY,long_reversal,2024,9.566568813318624e-05,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,session_close,QQQ,long_reversal,2022,0.0006050327292455893,False,False,non_strategy_event_study_no_pnl_no_cost_model
EVENT-05,session_close,QQQ,long_reversal,2023,0.000831611619255452,False,False,non_strategy_event_study_no_pnl_no_cost_model
