symbol,hypothesis_id,session_date,timestamp,diagnostic,expired_sweep_time,scenario,equity_before_session
SPY,HYP-FCR-02,2022-03-30,2022-03-30T14:35:00+00:00,high_sweep_window_expired,2022-03-30T14:15:00+00:00,severe,1048.3275317200046
SPY,HYP-FCR-02,2022-03-30,2022-03-30T14:50:00+00:00,low_sweep_window_expired,2022-03-30T14:30:00+00:00,severe,1048.3275317200046
SPY,HYP-FCR-02,2022-04-01,2022-04-01T15:10:00+00:00,low_sweep_window_expired,2022-04-01T14:50:00+00:00,severe,1046.1988977200047
SPY,HYP-FCR-02,2022-04-05,2022-04-05T14:25:00+00:00,high_sweep_window_expired,2022-04-05T14:05:00+00:00,severe,1043.1964677200046
SPY,HYP-FCR-02,2022-04-07,2022-04-07T14:20:00+00:00,high_sweep_window_expired,2022-04-07T14:00:00+00:00,severe,1040.5418077200047
SPY,HYP-FCR-02,2022-05-16,2022-05-16T14:50:00+00:00,high_sweep_window_expired,2022-05-16T14:30:00+00:00,severe,1034.6183950200057
SPY,HYP-FCR-02,2022-05-19,2022-05-19T14:40:00+00:00,high_sweep_window_expired,2022-05-19T14:20:00+00:00,severe,1028.6111069600058
SPY,HYP-FCR-02,2022-06-03,2022-06-03T14:20:00+00:00,high_sweep_window_expired,2022-06-03T14:00:00+00:00,severe,1022.1162153600065
SPY,HYP-FCR-02,2022-06-15,2022-06-15T14:30:00+00:00,high_sweep_window_expired,2022-06-15T14:10:00+00:00,severe,1034.272613360007
SPY,HYP-FCR-02,2022-06-15,2022-06-15T15:55:00+00:00,low_sweep_window_expired,2022-06-15T15:35:00+00:00,severe,1034.272613360007
SPY,HYP-FCR-02,2022-06-21,2022-06-21T16:10:00+00:00,high_sweep_window_expired,2022-06-21T15:50:00+00:00,severe,1026.9280983600072
SPY,HYP-FCR-02,2022-07-06,2022-07-06T14:35:00+00:00,low_sweep_window_expired,2022-07-06T14:15:00+00:00,severe,1027.356551880008
SPY,HYP-FCR-02,2022-07-11,2022-07-11T14:40:00+00:00,low_sweep_window_expired,2022-07-11T14:20:00+00:00,severe,1031.7125518800083
SPY,HYP-FCR-02,2022-07-14,2022-07-14T15:05:00+00:00,low_sweep_window_expired,2022-07-14T14:45:00+00:00,severe,1029.1514338800084
SPY,HYP-FCR-02,2022-07-29,2022-07-29T15:25:00+00:00,high_sweep_window_expired,2022-07-29T15:05:00+00:00,severe,1021.1293808800094
SPY,HYP-FCR-02,2022-08-02,2022-08-02T14:30:00+00:00,low_sweep_window_expired,2022-08-02T14:10:00+00:00,severe,1017.7152688800096
SPY,HYP-FCR-02,2022-08-08,2022-08-08T14:20:00+00:00,high_sweep_window_expired,2022-08-08T14:00:00+00:00,severe,1005.9032557800101
SPY,HYP-FCR-02,2022-08-09,2022-08-09T14:40:00+00:00,low_sweep_window_expired,2022-08-09T14:20:00+00:00,severe,1005.9032557800101
SPY,HYP-FCR-02,2022-08-11,2022-08-11T15:20:00+00:00,high_sweep_window_expired,2022-08-11T15:00:00+00:00,severe,1004.7066159000104
SPY,HYP-FCR-02,2022-08-12,2022-08-12T14:25:00+00:00,low_sweep_window_expired,2022-08-12T14:05:00+00:00,severe,1002.7597899000106
SPY,HYP-FCR-02,2022-08-12,2022-08-12T14:40:00+00:00,high_sweep_window_expired,2022-08-12T14:20:00+00:00,severe,1002.7597899000106
SPY,HYP-FCR-02,2022-08-16,2022-08-16T14:20:00+00:00,low_sweep_window_expired,2022-08-16T14:00:00+00:00,severe,1002.7597899000106
SPY,HYP-FCR-02,2022-08-16,2022-08-16T15:25:00+00:00,low_sweep_window_expired,2022-08-16T15:05:00+00:00,severe,1002.7597899000106
SPY,HYP-FCR-02,2022-08-23,2022-08-23T14:55:00+00:00,high_sweep_window_expired,2022-08-23T14:35:00+00:00,severe,997.8246548400107
SPY,HYP-FCR-02,2022-08-26,2022-08-26T14:30:00+00:00,high_sweep_window_expired,2022-08-26T14:10:00+00:00,severe,993.1896868400108
SPY,HYP-FCR-02,2022-08-31,2022-08-31T16:00:00+00:00,low_sweep_window_expired,2022-08-31T15:40:00+00:00,severe,989.925432840011
SPY,HYP-FCR-02,2022-09-16,2022-09-16T15:10:00+00:00,high_sweep_window_expired,2022-09-16T14:50:00+00:00,severe,977.5949798200118
SPY,HYP-FCR-02,2022-09-16,2022-09-16T15:35:00+00:00,high_sweep_window_expired,2022-09-16T15:15:00+00:00,severe,977.5949798200118
SPY,HYP-FCR-02,2022-09-16,2022-09-16T16:45:00+00:00,low_sweep_window_expired,2022-09-16T16:25:00+00:00,severe,977.5949798200118
SPY,HYP-FCR-02,2022-09-21,2022-09-21T14:50:00+00:00,high_sweep_window_expired,2022-09-21T14:30:00+00:00,severe,971.971281880012
SPY,HYP-FCR-02,2022-09-21,2022-09-21T15:25:00+00:00,low_sweep_window_expired,2022-09-21T15:05:00+00:00,severe,971.971281880012
SPY,HYP-FCR-02,2022-09-21,2022-09-21T18:20:00+00:00,high_sweep_window_expired,2022-09-21T18:00:00+00:00,severe,971.971281880012
SPY,HYP-FCR-02,2022-09-22,2022-09-22T14:20:00+00:00,low_sweep_window_expired,2022-09-22T14:00:00+00:00,severe,978.6006108800121
SPY,HYP-FCR-02,2022-10-28,2022-10-28T14:20:00+00:00,high_sweep_window_expired,2022-10-28T14:00:00+00:00,severe,993.3839123400145
SPY,HYP-FCR-02,2022-10-31,2022-10-31T14:30:00+00:00,low_sweep_window_expired,2022-10-31T14:10:00+00:00,severe,993.3839123400145
SPY,HYP-FCR-02,2022-11-02,2022-11-02T15:00:00+00:00,low_sweep_window_expired,2022-11-02T14:40:00+00:00,severe,994.4200583400145
SPY,HYP-FCR-02,2022-11-02,2022-11-02T15:45:00+00:00,low_sweep_window_expired,2022-11-02T15:25:00+00:00,severe,994.4200583400145
SPY,HYP-FCR-02,2022-11-08,2022-11-08T19:20:00+00:00,high_sweep_window_expired,2022-11-08T19:00:00+00:00,severe,997.6009496400147
SPY,HYP-FCR-02,2022-11-15,2022-11-15T16:35:00+00:00,low_sweep_window_expired,2022-11-15T16:15:00+00:00,severe,995.8724456400157
SPY,HYP-FCR-02,2022-11-16,2022-11-16T16:30:00+00:00,low_sweep_window_expired,2022-11-16T16:10:00+00:00,severe,995.8724456400157
SPY,HYP-FCR-02,2022-11-16,2022-11-16T17:40:00+00:00,low_sweep_window_expired,2022-11-16T17:20:00+00:00,severe,995.8724456400157
SPY,HYP-FCR-02,2022-11-17,2022-11-17T15:20:00+00:00,low_sweep_window_expired,2022-11-17T15:00:00+00:00,severe,995.8724456400157
SPY,HYP-FCR-02,2022-11-29,2022-11-29T16:15:00+00:00,high_sweep_window_expired,2022-11-29T15:55:00+00:00,severe,985.3002845200164
SPY,HYP-FCR-02,2022-12-01,2022-12-01T15:20:00+00:00,high_sweep_window_expired,2022-12-01T15:00:00+00:00,severe,981.1319785200167
SPY,HYP-FCR-02,2022-12-12,2022-12-12T15:25:00+00:00,high_sweep_window_expired,2022-12-12T15:05:00+00:00,severe,973.808364520017
SPY,HYP-FCR-02,2022-12-14,2022-12-14T19:20:00+00:00,high_sweep_window_expired,2022-12-14T19:00:00+00:00,severe,973.808364520017
SPY,HYP-FCR-02,2023-01-04,2023-01-04T15:20:00+00:00,high_sweep_window_expired,2023-01-04T15:00:00+00:00,severe,960.4332905200175
SPY,HYP-FCR-02,2023-01-05,2023-01-05T15:25:00+00:00,high_sweep_window_expired,2023-01-05T15:05:00+00:00,severe,965.8022115200176
SPY,HYP-FCR-02,2023-01-05,2023-01-05T16:45:00+00:00,low_sweep_window_expired,2023-01-05T16:25:00+00:00,severe,965.8022115200176
SPY,HYP-FCR-02,2023-01-18,2023-01-18T15:35:00+00:00,high_sweep_window_expired,2023-01-18T15:15:00+00:00,severe,965.0238215200181
SPY,HYP-FCR-02,2023-01-25,2023-01-25T15:20:00+00:00,low_sweep_window_expired,2023-01-25T15:00:00+00:00,severe,965.0358721800185
